Ciudad,Estado_Geo,Anio,Mes,Lat,Lon
Querétaro,Querétaro,2025,11,23.34185229090045,-102.09352788903546
Saltillo,Coahuila De Zaragoza,2025,11,23.1931027678059,-102.37576200408601
Tijuana,Baja California,2025,11,31.237815757953324,-115.66690195929164
Yautepec,Morelos,2025,11,24.000418057163333,-102.06016787638653
Zapopan,Jalisco,2025,10,20.792601457273268,-103.22169194692859
Tezontepec De Aldama,Hidalgo,2025,9,23.439029791048704,-102.66509438534291
Culiacán,Sinaloa,2025,11,23.449209574612663,-102.86072792733661
Benito Juárez,Quintana Roo,2025,10,23.82595567887024,-102.2059748107297
Cuauhtémoc,Chihuahua,2025,11,23.997110259952578,-102.37992724407148
Tijuana,Baja California,2025,11,31.227686424265116,-115.25033890802368
Reynosa,Tamaulipas,2025,11,23.879875545857626,-102.10610741694904
Apaseo El Alto,Guanajuato,2025,11,21.161031646154285,-100.96880278877548
Venustiano Carranza,Ciudad de México,2025,12,19.01673996499505,-99.48152512026725
Álvaro Obregón,Ciudad de México,2025,11,19.094228714094616,-99.32147793220446
Comalcalco,Tabasco,2025,12,23.99855418852708,-102.75151086018553
Zapopan,Jalisco,2025,10,20.76592905965959,-103.10545370742733
Puerto Vallarta,Jalisco,2025,10,20.168697051616633,-103.81586756526423
Tijuana,Baja California,2025,8,30.44207154286603,-115.21391031512869
Medellín De Bravo,Veracruz,2025,9,23.763501769108057,-102.2375413142593
Tala,Jalisco,2025,12,20.16456158384622,-102.97263436323826
Mexicali,Baja California,2025,10,30.501408051417496,-115.44171825128409
Chimalhuacán,México,2025,12,19.404033789366586,-99.33444269532798
Calnali,Hidalgo,2025,9,23.791895197692696,-102.88936826304479
Tonalá,Jalisco,2025,11,20.8114612595026,-103.00294770826548
Las Choapas,Veracruz,2025,10,23.32426930946056,-102.87251133766802
Chihuahua,Chihuahua,2025,12,23.812179221347538,-102.60271270943963
Guadalupe,Zacatecas,2025,11,23.3372490874968,-102.20270463422045
Valle Hermoso,Tamaulipas,2026,1,23.425399698159268,-102.85008257265123
Morelia,Michoacán,2025,12,19.812991405118026,-101.97754860476736
Tijuana,Baja California,2025,11,30.990232899047214,-115.06154743160694
Querétaro,Querétaro,2025,11,23.94922341049418,-102.27996346345392
Tlalnepantla De Baz,México,2025,11,19.512912892300342,-99.5145523671147
Celaya,Guanajuato,2025,11,21.08730860333547,-101.06345155553291
Villa De Tamazulápam Del Progreso,Oaxaca,2025,10,23.193674767828092,-102.4572755566524
Yautepec,Morelos,2026,2,23.467715803059434,-102.74820094109305
Tijuana,Baja California,2025,8,30.605802367681726,-115.43810400649608
Morelia,Michoacán,2025,12,19.310489643379086,-102.02520228319858
Soconusco,Veracruz,2025,12,24.073010554752447,-102.09154943866638
San Luis Río Colorado,Sonora,2025,11,23.49309772466676,-102.41660820523389
Tuxtla Gutiérrez,Chiapas,2026,2,23.992046555177115,-102.59914858323636
Tijuana,Baja California,2025,12,30.97173862599726,-115.32179419635587
Ascensión,Chihuahua,2025,12,23.89481130354165,-102.05271666038819
Nezahualcóyotl,México,2025,9,19.357937093105193,-100.00234859688392
Acuña,Coahuila De Zaragoza,2026,2,23.67690388462636,-102.4137701679832
León De Los Aldama,Guanajuato,2025,8,21.011517693818863,-101.25151132111554
León De Los Aldama,Guanajuato,2025,9,20.71424298779804,-101.14594576456535
Cuautitlán Izcalli,México,2025,10,19.577752115261504,-100.13758981617916
Morelia,Michoacán,2025,11,19.347272362440858,-101.33467609105585
Culiacán,Sinaloa,2025,11,23.124315966431457,-102.06788171751639
Querétaro,Querétaro,2025,11,23.74547229590717,-102.43486681641079
Indaparapeo,Michoacán,2025,11,19.243610679407052,-101.51014917612311
Azcapotzalco,Ciudad de México,2026,1,19.873058584352915,-98.71070061882271
Zapopan,Jalisco,2025,9,21.113428577002587,-103.1421613656866
Aguascalientes,Aguascalientes,2025,10,24.01486439022045,-102.84746095708574
Juan C. Bonilla,Puebla,2025,11,23.470158700255446,-102.42371163983319
Chihuahua,Chihuahua,2025,10,23.115456616528867,-102.39328495361714
Ánimas Trujano,Oaxaca,2025,9,24.028318562587728,-102.57586932869762
La Magdalena Contreras,Ciudad de México,2025,11,19.360784148317315,-98.89675576437529
Nuevo Laredo,Tamaulipas,2025,11,24.06665481904367,-102.06563298523099
Cuauhtémoc,Ciudad de México,2025,11,19.896219977089252,-98.70763148709322
Mexicali,Baja California,2025,9,31.19360945546736,-115.33296062859587
Culiacán,Sinaloa,2025,9,23.394448892069587,-102.88676195415924
La Paz,México,2025,12,19.240397728601923,-99.17085880103767
Mineral De La Reforma,Hidalgo,2025,10,23.95113667151686,-102.16110191355406
La Huerta,Jalisco,2025,11,20.47642200515628,-103.72473731879674
Hermosillo,Sonora,2025,12,23.269492746686094,-102.07915811738263
Cuautitlán,México,2025,11,19.41210126245835,-99.28580363793787
Othón P. Blanco,Quintana Roo,2025,12,24.03615477416078,-102.48116194287392
León De Los Aldama,Guanajuato,2025,9,21.215029796674973,-101.16612456425507
Otzolotepec,México,2025,9,19.425361170089364,-99.75669729612987
Tlajomulco De Zúñiga,Jalisco,2025,10,20.25667649377077,-103.79463836117797
Tizayuca,Hidalgo,2025,11,23.71500722669917,-102.6648027583541
Guadalupe,Nuevo León,2025,9,26.082253850104262,-99.69334655140199
Tequixquiac,México,2025,12,18.995384015236525,-100.15106797699539
Ocotlán,Jalisco,2025,9,20.677829652363737,-103.51590082830886
Culiacán,Sinaloa,2025,10,23.977373071927957,-102.60183130640905
Azcapotzalco,Ciudad de México,2025,8,19.673368617754207,-99.09580439706208
San Mateo Atenco,México,2025,12,19.55231574099527,-99.23584438358724
Tultitlán,México,2025,10,19.55778408398711,-99.80935400563403
Puebla,Puebla,2025,10,23.45949115121976,-102.65304679810377
Aguascalientes,Aguascalientes,2025,9,23.393591844264495,-102.26249875189025
Nezahualcóyotl,México,2025,9,19.664661155478512,-99.70348205911019
Caborca,Sonora,2025,12,23.910113394679183,-102.77539517706002
León De Los Aldama,Guanajuato,2025,9,21.3860723185801,-101.3049604838673
Guadalajara,Jalisco,2025,9,21.07274055255647,-103.7085429796202
Ensenada,Baja California,2025,12,30.851942398860935,-115.60741301349378
Gustavo A. Madero,Ciudad de México,2025,12,19.4341162946872,-99.13483222726052
Morelia,Michoacán,2025,11,19.864795178966776,-101.78787455049546
Tingambato,Michoacán,2025,11,19.716463930777767,-101.2919540989319
León De Los Aldama,Guanajuato,2025,12,21.220966877257702,-101.39500610088336
Monterrey,Nuevo León,2025,12,25.8879926694361,-99.91561164972195
Acapulco De Juárez,Guerrero,2025,8,23.990005341817568,-102.36773571208047
San Mateo Atenco,México,2025,12,19.193295156851537,-100.14260554341166
Manzanillo,Colima,2025,12,23.475582952639947,-102.3364626279833
Tuxpan,Michoacán,2025,11,19.16048193984087,-102.02876403313024
Xalapa,Veracruz,2025,11,23.678280140996176,-102.03892968253055
León De Los Aldama,Guanajuato,2025,12,20.55494227379674,-101.60873727224688
Morelia,Michoacán,2025,11,19.532098018132462,-101.79217587627298
Valle De Chalco Solidaridad,México,2025,9,19.397944634707578,-100.07035033192135
Playas De Rosarito,Baja California,2025,11,30.627141252128283,-114.78692574815405
Xalapa,Veracruz,2025,12,23.69083326056901,-102.49780498966875
Tecámac,México,2025,9,18.88580024993905,-99.56031498267996
Parras,Coahuila De Zaragoza,2026,2,23.137348188749215,-102.93292352261157
Villa De Zaachila,Oaxaca,2025,11,23.92260056065966,-102.25003952960083
Centro,Tabasco,2025,10,23.460190641411263,-102.79009440690442
Cuauhtémoc,Ciudad de México,2026,2,19.059660512651885,-98.7351457105593
Durango,Durango,2025,10,23.622243260054805,-102.794860359518
Guadalajara,Jalisco,2025,11,20.929493553098613,-103.65871227933634
Córdoba,Veracruz,2025,8,23.315821027496845,-102.96345033215191
Tototlán,Jalisco,2025,11,20.782390475819003,-103.37733305489
Tonalá,Jalisco,2025,11,20.244847464993768,-103.28455886673738
Zapopan,Jalisco,2025,8,20.211181721168607,-103.78369136057165
Zamora,Michoacán,2025,9,19.59785463156815,-101.43127238330499
Santa Lucía Del Camino,Oaxaca,2025,10,23.640635121610106,-102.54671116525198
Guadalajara,Jalisco,2025,11,20.796929901498206,-103.32500973067242
Guaymas,Sonora,2025,12,23.826091333722662,-102.55923725306177
Xochimilco,Ciudad de México,2025,11,19.908452079462535,-99.23243693912468
Naucalpan De Juárez,México,2025,11,19.371600348301197,-99.59605966869178
Nezahualcóyotl,México,2025,12,19.178256472941246,-100.00045975406928
Tonalá,Jalisco,2025,12,20.954686194768705,-103.66747186950474
Corregidora,Querétaro,2025,10,23.370832251262076,-102.13821437898648
Guadalajara,Jalisco,2025,9,20.598471420705636,-102.90328453786637
Tijuana,Baja California,2025,12,30.419056381342266,-115.41049068372024
Cuauhtémoc,Ciudad de México,2025,10,18.95795074341546,-99.36245532685645
Comitán De Domínguez,Chiapas,2025,11,24.062648414677927,-102.35600045676098
Celaya,Guanajuato,2026,1,21.354980120512206,-101.34866582890191
El Marqués,Querétaro,2025,10,23.7959742060937,-102.97461364433966
Tarímbaro,Michoacán,2025,10,19.475452944414272,-102.05064740263381
Tapachula,Chiapas,2025,11,23.273294320070846,-102.28402777115261
Coyoacán,Ciudad de México,2025,12,19.089037042671087,-98.97427605808986
Guasave,Sinaloa,2025,10,23.3502428981646,-102.97290400749651
León De Los Aldama,Guanajuato,2025,10,21.06822666470612,-101.53542783806705
San Bartolo Coyotepec,Oaxaca,2025,12,23.814595922700065,-102.76892520341192
Tultepec,México,2025,12,19.515497376717732,-99.48380725640126
Tijuana,Baja California,2025,11,30.62053389694594,-115.76408946224564
Durango,Durango,2025,11,24.054865280663197,-102.89589141801542
Tlalnepantla De Baz,México,2025,11,19.593196916695767,-99.35578391462681
Guasave,Sinaloa,2025,10,23.6543540525114,-102.82145533794566
Boca Del Río,Veracruz,2025,12,23.711720746234352,-102.34725389214813
Durango,Durango,2025,11,23.51960006242779,-102.76181721895327
Zapopan,Jalisco,2025,8,20.40723098950116,-103.74995860724066
Benito Juárez,Quintana Roo,2025,10,23.455972678651264,-102.75682780900054
Tijuana,Baja California,2025,10,31.09844611046437,-115.06153306814434
Nezahualcóyotl,México,2025,11,18.869693488629757,-99.30000353189371
Tijuana,Baja California,2025,8,30.456672640506916,-114.95358013543301
Cuernavaca,Morelos,2025,10,23.146002642021756,-102.60281647038154
Tizayuca,Hidalgo,2025,11,23.14072880231897,-102.33191486342935
Chilpancingo De Los Bravo,Guerrero,2025,12,23.955460584011007,-102.79501570458417
Tepatitlán De Morelos,Jalisco,2025,12,20.863157859380024,-103.55625226973899
Tacámbaro,Michoacán,2025,9,19.540673829087325,-101.31046418147888
Durango,Durango,2025,12,23.197834160651002,-102.98699807648926
Chimalhuacán,México,2025,8,19.34691587511683,-100.07019146914553
Tláhuac,Ciudad de México,2025,10,19.406071770780567,-99.42531374485398
San Pedro Tlaquepaque,Jalisco,2025,9,20.332701869910018,-103.82286779612619
Aguascalientes,Aguascalientes,2025,8,23.533851649237974,-102.8185645649102
Mineral De La Reforma,Hidalgo,2025,9,23.498504734397375,-102.41695843903031
Mexicali,Baja California,2025,10,30.956450098052215,-115.3623754494075
Chihuahua,Chihuahua,2025,12,23.735093650867647,-102.10732828892303
Tijuana,Baja California,2025,10,30.385904009772045,-114.96635643826156
Nezahualcóyotl,México,2025,11,19.22991261462647,-99.81388264830213
Durango,Durango,2025,10,23.72585991571424,-102.7405765665687
Buenaventura,Chihuahua,2025,10,23.60313625858009,-102.62030759183273
San Felipe Del Progreso,México,2025,9,19.71178984118832,-99.5654050574852
Culiacán,Sinaloa,2025,9,23.758693631618947,-102.73193635917713
Hidalgo,Michoacán,2025,11,19.22943442708143,-101.58265109215087
Tlaxcala,Tlaxcala,2025,9,23.17056874740043,-102.59058834780876
Anáhuac,Nuevo León,2025,12,25.734619278206313,-99.94415281914802
Villa De Tamazulápam Del Progreso,Oaxaca,2025,11,23.126511310541623,-102.56387347086468
